season,player_name,playerId,team,weighted_avg
2021,Will Martyn,1009313,Richmond,20.02
2021,James Peatling,1006013,Greater Western Sydney,19.891
2021,Will Gould,1004113,Multiple,12.66
2021,Connor Ballenden,1002351,Brisbane,16.64
2021,Tom Hird,1020224,Essendon,13.66
2021,Dominic Bedendo,1015822,Footscray,10.879999999999999
2021,Alex Davies,1013268,Gold Coast,14.559999999999999
2021,Keegan Brooksby,290889,Box Hill,15.64
2021,Tom Wilson,993797,Northern Bullants,19.54
2022,Rhys Mathieson,993828,Brisbane,22.6
2022,Will Hayes,991976,Carlton,21.277
2022,Lewis Taylor,296211,Sydney,22.7066
2022,Nick Bryan,1011954,Essendon,17.9714
2022,Francis Evans,1017255,Geelong,16.1834
2022,Tom Wilson,993797,Northern Bullants,22.186600000000002
2022,Daniel Howe,992462,Box Hill,19.7334
2022,Luke Dunstan,294429,Casey,19.9556
2022,Hayden Crozier,293651,Footscray,17.5636
2022,Sam Flanders,1009260,Gold Coast,23.5166
2022,Matt McGuinness,1006653,North Melbourne,14.364799999999999
2022,Tom Campbell,290246,Sandringham,22.4834
2022,Jarrod Brander,1002300,Greater Western Sydney,19.909
2022,Jake Aarts,992786,Richmond,17.4
2023,Jaxon Binns,1023533,Carlton,23.3882
2023,Mitch Knevitt,1021103,Geelong,17.6924
2023,Finlay Macrae,1012828,Collingwood,18.811799999999998
2023,Jarryd Lyons,293716,Brisbane,23.3624
2023,Luke Dunstan,294429,Casey,20.9334
2023,Aaron Hall,296735,North Melbourne,20.8
2023,Ned Long,1017124,Box Hill,18.7876
2023,Tyler Sonsie,1017114,Richmond,17.1428
2023,Rhett Montgomerie,1004069,Essendon,16.4
2023,Josh Fahey,1017751,Greater Western Sydney,22.1636
2023,Toby McLean,996483,Footscray,22.0666
2023,Charlie Constable,1002242,Gold Coast,22.3264
2023,Tom Campbell,290246,Sandringham,19.1286
2023,Dylan Stephens,1004848,Sydney,22.119999999999997
2024,Tom Campbell,290246,Sandringham,22.9428
2024,Kaleb Smith,1022999,Richmond,15.386600000000001
2024,Nick Bryan,1011954,Essendon,21.3286
2024,Mitchell Hardie,1008825,Geelong,22.6736
2024,Riley Garcia,1006533,Footscray,22.818199999999997
2024,Nicholas Madden,1023743,Greater Western Sydney,19.1
2024,Bailey Laurie,1012826,Casey,19.9166
2024,Jaxon Binns,1023533,Carlton,20.425
2024,Jarryd Lyons,293716,Brisbane,24.6112
2024,Finn Maginness,1009421,Box Hill,22.3
2024,Finlay Macrae,1012828,Collingwood,20.2364
2024,Angus Sheldrick,1020339,Sydney,17.9
2024,Charlie Lazzaro,1012852,North Melbourne,21.14
2024,Brayden Fiorini,993799,Gold Coast,26.4
2025,Jaxon Binns,1023533,Carlton,17.6834
2025,Deven Robertson,1009385,Brisbane,20.4534
2025,Ben Paton,1004985,Sydney,18.523
2025,Jedd Busslinger,1023017,Footscray,18.9538
2025,Jack Billings,296351,Casey,21.3764
2025,Max Heath,1015886,Sandringham,19.78
2025,Ned Moyle,1021013,Gold Coast,23.16
2025,Nicholas Madden,1023743,Greater Western Sydney,19.95
2025,Vigo Visentini,1027966,Essendon,17.7166
2025,Will Phillips,1012829,North Melbourne,21.3334
2025,Mason Cox,998647,Collingwood,16.4728
2025,Kaleb Smith,1022999,Richmond,16.72
2025,Sam Butler,1010708,Box Hill,19.8
2025,Ted Clohesy,1023542,Geelong,23.363599999999998
