Club,season,squad_age_avg,squad_age_yoy,squad_experience_avg_games,squad_experience_yoy,squad_turnover_players,squad_turnover_yoy
Adelaide,1994,23.4,NA,31.6,NA,5,NA
Adelaide,1995,23.9,0.5,41.5,9.9,9,NA
Adelaide,1996,24.2,0.3,49.2,7.7,12,7
Adelaide,1997,23.3,-0.9,41.2,-8,12,3
Adelaide,1998,23.8,0.5,48.6,7.4,7,-5
Adelaide,1999,24,0.2,53.2,4.6,9,-3
Adelaide,2000,23.8,-0.2,53.6,0.4,10,3
Adelaide,2001,23.3,-0.5,49.6,-4,9,0
Adelaide,2002,23.1,-0.2,50.4,0.8,8,-2
Adelaide,2003,24.2,1.1,71.6,21.2,5,-4
Adelaide,2004,24.5,0.3,74.3,2.7,4,-4
Adelaide,2005,23.8,-0.7,65.1,-9.2,6,1
Adelaide,2006,24,0.2,71.9,6.8,5,1
Adelaide,2007,24.4,0.4,70.2,-1.7,5,-1
Adelaide,2008,23.4,-1,58.3,-11.9,9,4
Adelaide,2009,23.1,-0.3,53.5,-4.8,5,0
Adelaide,2010,23.4,0.3,58.9,5.4,4,-5
Adelaide,2011,22.8,-0.6,43.3,-15.6,4,-1
Adelaide,2012,23.1,0.3,45.5,2.2,8,4
Adelaide,2013,23.6,0.5,48.3,2.8,3,-1
Adelaide,2014,23.8,0.2,55.4,7.1,4,-4
Adelaide,2015,23.9,0.1,55,-0.4,6,3
Adelaide,2016,24,0.1,54.3,-0.7,6,2
Adelaide,2017,24,0,57.4,3.1,5,-1
Adelaide,2018,24.6,0.6,67.9,10.5,4,-2
Adelaide,2019,24.8,0.2,71.4,3.5,6,1
Adelaide,2020,23.9,-0.9,57.8,-13.6,6,2
Adelaide,2021,23.6,-0.3,54.2,-3.6,7,1
Adelaide,2022,23.5,-0.1,45.6,-8.6,5,-1
Adelaide,2023,23.8,0.3,51.7,6.1,4,-3
Adelaide,2024,24.2,0.4,58.8,7.1,4,-1
Adelaide,2025,24.8,0.6,67.4,8.6,5,1
Brisbane,1994,23.4,NA,53.6,NA,12,NA
Brisbane,1995,24.1,0.7,63,9.4,6,NA
Brisbane,1996,23.7,-0.4,63.5,0.5,10,-2
Brisbane,1997,23.3,-0.4,63.7,0.2,10,4
Brisbane,1998,23,-0.3,58.8,-4.9,7,-3
Brisbane,1999,23.5,0.5,64.2,5.4,6,-4
Brisbane,2000,23.1,-0.4,63.8,-0.4,5,-2
Brisbane,2001,22.9,-0.2,60,-3.8,7,1
Brisbane,2002,23.5,0.6,72.8,12.8,2,-3
Brisbane,2003,23.8,0.3,83.6,10.8,5,-2
Brisbane,2004,24,0.2,85.4,1.8,5,3
Brisbane,2005,23.2,-0.8,73.3,-12.1,5,0
Brisbane,2006,23.4,0.2,67.4,-5.9,5,0
Brisbane,2007,22.6,-0.8,51.5,-15.9,6,1
Brisbane,2008,22.8,0.2,51.3,-0.2,6,1
Brisbane,2009,22.7,-0.1,48.9,-2.4,7,1
Brisbane,2010,23.2,0.5,60,11.1,10,4
Brisbane,2011,23.3,0.1,56.9,-3.1,5,-2
Brisbane,2012,23.1,-0.2,49.4,-7.5,7,-3
Brisbane,2013,23.3,0.2,54,4.6,5,0
Brisbane,2014,23.4,0.1,56.6,2.6,10,3
Brisbane,2015,22.9,-0.5,48.6,-8,9,4
Brisbane,2016,22.6,-0.3,42.1,-6.5,9,-1
Brisbane,2017,22.8,0.2,40.7,-1.4,7,-2
Brisbane,2018,23.4,0.6,54,13.3,8,-1
Brisbane,2019,23.5,0.1,55.4,1.4,9,2
Brisbane,2020,23.8,0.3,55,-0.4,7,-1
Brisbane,2021,23.9,0.1,60.7,5.7,5,-4
Brisbane,2022,24.5,0.6,66.3,5.6,4,-3
Brisbane,2023,25.2,0.7,78.1,11.8,4,-1
Brisbane,2024,24.8,-0.4,73.8,-4.3,6,2
Brisbane,2025,25.4,0.6,85.9,12.1,4,0
Carlton,1994,24.5,NA,66.5,NA,5,NA
Carlton,1995,24.4,-0.1,68,1.5,11,NA
Carlton,1996,25,0.6,83,15,8,3
Carlton,1997,25,0,81.2,-1.8,9,-2
Carlton,1998,23.3,-1.7,53.5,-27.7,7,-1
Carlton,1999,23.6,0.3,60.3,6.8,5,-4
Carlton,2000,24,0.4,69.7,9.4,9,2
Carlton,2001,24.1,0.1,67.3,-2.4,7,2
Carlton,2002,24.1,0,70.1,2.8,7,-2
Carlton,2003,24.1,0,69.7,-0.4,6,-1
Carlton,2004,22.9,-1.2,47.2,-22.5,14,7
Carlton,2005,22.9,0,49.7,2.5,8,2
Carlton,2006,23.1,0.2,52.3,2.6,6,-8
Carlton,2007,22.6,-0.5,51.9,-0.4,8,0
Carlton,2008,22.5,-0.1,44.9,-7,6,0
Carlton,2009,22.8,0.3,49.2,4.3,6,-2
Carlton,2010,22.6,-0.2,48.3,-0.9,5,-1
Carlton,2011,23,0.4,49.5,1.2,7,1
Carlton,2012,23.3,0.3,53.3,3.8,3,-2
Carlton,2013,24.1,0.8,60.6,7.3,3,-4
Carlton,2014,24.4,0.3,68.9,8.3,6,3
Carlton,2015,24.1,-0.3,59.8,-9.1,9,6
Carlton,2016,24,-0.1,53.3,-6.5,12,6
Carlton,2017,23.9,-0.1,51.9,-1.4,10,1
Carlton,2018,23.8,-0.1,56.4,4.5,10,-2
Carlton,2019,23.5,-0.3,52.2,-4.2,8,-2
Carlton,2020,23.8,0.3,63.1,10.9,7,-3
Carlton,2021,24.3,0.5,65.7,2.6,5,-3
Carlton,2022,24.5,0.2,60.3,-5.4,4,-3
Carlton,2023,24.6,0.1,62.1,1.8,5,0
Carlton,2024,24.8,0.2,63.9,1.8,4,0
Carlton,2025,24.6,-0.2,68.8,4.9,5,0
Collingwood,1994,23.1,NA,48.3,NA,12,NA
Collingwood,1995,23.3,0.2,52,3.7,10,NA
Collingwood,1996,22.9,-0.4,43.9,-8.1,12,0
Collingwood,1997,22.8,-0.1,44.7,0.8,15,5
Collingwood,1998,22.8,0,52.9,8.2,11,-1
Collingwood,1999,23,0.2,48.5,-4.4,13,-2
Collingwood,2000,22.6,-0.4,45.2,-3.3,13,2
Collingwood,2001,22.1,-0.5,36.8,-8.4,10,-3
Collingwood,2002,22.7,0.6,48.4,11.6,6,-7
Collingwood,2003,22.6,-0.1,55.4,7,8,-2
Collingwood,2004,22.5,-0.1,54.6,-0.8,5,-1
Collingwood,2005,23.2,0.7,68.5,13.9,6,-2
Collingwood,2006,23.3,0.1,69.8,1.3,6,1
Collingwood,2007,23.3,0,68.3,-1.5,7,1
Collingwood,2008,23.2,-0.1,64,-4.3,4,-2
Collingwood,2009,22.8,-0.4,56.5,-7.5,6,-1
