Club,year,actual_rank,forecast_a_rank,forecast_b_rank,finish_1_p10,finish_1_p25,finish_1_p75,finish_1_p90,finish_2_p10,finish_2_p25,finish_2_p75,finish_2_p90
Adelaide,2012,2,7.835294192545548,7.193452199690375,3,4,10.255962250574242,14,1.0227522000510447,3.0568805001276047,10,13
Brisbane Lions,2012,13,11.643901309227426,11.587454071712372,8,9,14,15.446458639924089,5,8,15,16
Carlton,2012,10,7.048803371226299,7.547869062918941,2,5,10,15,1,4,13,18
Collingwood,2012,4,8.002109497860264,7.53251792791855,2,5,12,15,3,6,11,11
Essendon,2012,11,6.799985752152373,8.247911758616084,1,2.4278535296162573,10.850681766546316,16,1,5,13,14
Fremantle,2012,7,6.883577629035408,8.256104875778714,2,6,8,14,3,3,13,13
Geelong,2012,6,6.8255942022008504,9.617544693612942,1.2874343562900918,4,11,13,4,5,14,17.173818413221625
Gold Coast,2012,17,11.06619043730512,9.496651408480034,4,11,12,14.050147754872768,5,6,13,13
Greater Western Sydney,2012,18,13.833205354371662,11.87309715827239,8,9,17,17,4,8,16,16.213297047685842
Hawthorn,2012,1,4.991381904789423,6.117316111105583,2,2,8,9,1,2,10,16
Melbourne,2012,16,12.17018769206324,9.659753574509608,7,9,15,15,5,6,12,17
North Melbourne,2012,8,9.483578794120566,12.00161981178595,1,2,15,15,1,11,16,17
Port Adelaide,2012,14,11.686187467730004,10.574142332449428,6,9,15.942925773509728,16,4,7,12,16
Richmond,2012,12,8.31060609848253,8.739248811854525,5,6,10,11,4,7,11,13
St Kilda,2012,9,9.271010362535836,7.702136545627835,3,5,12,15,4,4,12,15
Sydney,2012,3,3.9335590165622603,5.891419332060125,1,1,5,9,2,3,11,12
West Coast,2012,5,5.64038506680169,6.630533142291453,1,2,9.746078170113378,14.685881412408264,1,1.9813052114911045,11.471957817236671,16
Western Bulldogs,2012,15,11.700713913068867,9.951462408809823,4,6,15,17,1,6,15,16
Adelaide,2013,11,7.791834513717002,8.45111322314448,5,6,10,10,3,5,13,14
Brisbane Lions,2013,12,7.368182475066935,9.33352870158461,4,4,9,15.40628585832502,3,5,14,14
Carlton,2013,9,8.200170201901798,9.31475625263777,2.864438926415122,3,15,16.559900675472193,3,4,16.98329194811342,18
Collingwood,2013,6,9.850429737806763,11.066198992994796,5.078940111885553,6,13,17,1.54071884497416,7,18,18
Essendon,2013,7,4.983847125224402,7.240027349929366,2,3,6,7,3,4.03203714973931,12,12
Fremantle,2013,3,5.969420492673682,6.591405121271784,1,1,10,12,1,3,9,11
Geelong,2013,2,5.005258884359005,6.578600202052921,1,2,8,9,1,3,9,16
Gold Coast,2013,14,10.169821531916684,8.510226227152318,4,5,14,16,3,4,12,13
Greater Western Sydney,2013,18,13.290723088424738,11.802244434216306,7,12,16,17,6,12,15,16
Hawthorn,2013,1,4.145597009530764,5.7796139987860435,1,2,6,8,2,2,11,12
Melbourne,2013,17,12.731622171226253,12.589013193233251,6,8,17,17.005784562548897,5,10,17,18
North Melbourne,2013,10,7.330283007238516,11.321178613995853,1,4.20975517764019,11,15,6,6,14,18
Port Adelaide,2013,8,8.837972460277575,7.769331124515691,5,6,11,15,4,5,10,11
Richmond,2013,5,4.905196482430945,5.113616467031434,2,3,6,8,1,1,9,12
St Kilda,2013,16,9.70876627585275,9.985177626740755,2,4,15,17,2,6,15,17
Sydney,2013,4,11.966695357137343,10.864992802119263,8.032165433161637,10,16,16,1,4,15,15
West Coast,2013,13,9.573946166917375,9.006390884306793,3,4,18,18,2,4.670988319440404,14,16
Western Bulldogs,2013,15,13.064798415578144,10.429506233654823,6,11,16,18,4,7,14,16
Adelaide,2014,10,5.254077698661149,6.419047585212668,1,3,7,9,1,1,10,11
Brisbane Lions,2014,15,10.115384093009427,7.420768739531566,7,8,12,12,4,4,11,12
Carlton,2014,13,10.382611131880552,9.508089998932414,4,6,17,18,2,6,16,17
Collingwood,2014,11,9.640230891553982,11.077686007489763,5,7,13,14.504295993047435,5,9,14,15
Essendon,2014,7,8.03388059194087,9.189877600750583,3,5,13,13,3,4,14,16
Fremantle,2014,4,6.662067003031837,7.591427880135663,3,3,9,12,2,4,10,14
Geelong,2014,3,5.461492130550451,6.598262413069336,2,3,7,8,2,4,9,10
Gold Coast,2014,12,6.681396647910741,7.448271084415177,2,4,9,16,4,5.5639243292658875,9,15
Greater Western Sydney,2014,16,11.53750145315026,12.168198606011059,4,11,14,17,3,9,16,16
Hawthorn,2014,1,3.7936500607048873,6.254598018990578,1,2,4,8,2,2,11,12
Melbourne,2014,17,11.094912290591258,9.48955013537685,6,8,15,17,5,5,11,18
North Melbourne,2014,6,8.54418259225426,7.641027453969949,2,2,12,16,1,4,14,15
Port Adelaide,2014,5,6.2398500960976495,8.970174722487153,1,1,10,13,1,3,13,15
Richmond,2014,8,7.534981300600659,8.409080577212057,3,6,9,13,1,6,10,13
