season,playerId,team,player_name,weighted_avg,recent_form,form_change
2019,270963,Adelaide Crows,Rory Sloane,14.2497272727273,14.2497272727273,0
2019,293535,Brisbane Lions,Lachie Neale,16.6244100694445,16.6244100694445,0
2019,990704,Carlton,Patrick Cripps,16.6350666666667,16.6350666666667,0
2019,293957,Collingwood,Brodie Grundy,17.3528815972222,17.3528815972222,0
2019,992016,Essendon,Zach Merrett,14.7134275362319,14.7134275362319,0
2019,291570,Fremantle,Nat Fyfe,18.3717229166667,18.3717229166667,0
2019,294685,GWS GIANTS,Zac Williams,13.7524923611111,13.7524923611111,0
2019,270917,Geelong Cats,Patrick Dangerfield,15.98479375,15.98479375,0
2019,298437,Gold Coast SUNS,Callum Ah Chee,14.12,14.12,0
2019,261323,Hawthorn,Ben McEvoy,14.609148245614,14.609148245614,0
2019,290528,Melbourne,Max Gawn,18.2269238095238,18.2269238095238,0
2019,271129,North Melbourne,Todd Goldstein,16.2106606060606,16.2106606060606,0
2019,290527,Port Adelaide,Trent McKenzie,15.8182,15.8182,0
2019,290847,Richmond,Dustin Martin,16.6893731884058,16.6893731884058,0
2019,992468,St Kilda,Rowan Marshall,15.1233291666667,15.1233291666667,0
2019,290778,Sydney Swans,Luke Parker,14.7385632575758,14.7385632575758,0
2019,292128,West Coast Eagles,Elliot Yeo,15.3337438405797,15.3337438405797,0
2019,297373,Western Bulldogs,Marcus Bontempelli,15.8400746376812,15.8400746376812,0
2020,297523,Adelaide Crows,Reilly O'Brien,10.8597931372549,10.8597931372549,0
2020,293535,Brisbane Lions,Lachie Neale,14.5459236842105,14.5459236842105,0
2020,990704,Carlton,Patrick Cripps,11.4158833333333,11.4158833333333,0
2020,291776,Collingwood,Taylor Adams,12.4556842105263,12.4556842105263,0
2020,291783,Essendon,Dylan Shiel,11.8229533333333,11.8229533333333,0
2020,291570,Fremantle,Nat Fyfe,14.4654035714286,14.4654035714286,0
2020,270811,GWS GIANTS,Sam Jacobs,11.7822845238095,11.7822845238095,0
2020,270917,Geelong Cats,Patrick Dangerfield,13.3300936507936,13.3300936507936,0
2020,1009208,Gold Coast SUNS,Matt Rowell,14.0013316666667,14.0013316666667,0
2020,280744,Hawthorn,Luke Breust,10.9788115384615,10.9788115384615,0
2020,298210,Melbourne,Christian Petracca,15.9051995098039,15.9051995098039,0
2020,271129,North Melbourne,Todd Goldstein,12.9661058823529,12.9661058823529,0
