season,team,providerId,player_name,age,position_group,games,ratings,age_cat
2019,Adelaide Crows,1000908,Myles Poholke,21,Gen Fwd,2,50.7425358237293,Rising Stars
2019,Adelaide Crows,1000932,Tom Doedee,22,Gen Def,1,52.4659123868864,Established Youth
2019,Adelaide Crows,1000998,Lachlan Murphy,20,Gen Fwd,21,54.5533304835026,Rising Stars
2019,Adelaide Crows,1005199,Elliott Himmelberg,21,Key Fwd,7,56.5429571302948,Rising Stars
2019,Adelaide Crows,1006203,Chayce Jones,19,Gen Fwd,8,50.1196727957251,Rising Stars
2019,Adelaide Crows,240060,Eddie Betts,32,Gen Fwd,21,62.1137233743735,Veterans
2019,Adelaide Crows,240370,Richard Douglas,32,Gen Fwd,9,54.1493946185943,Veterans
2019,Adelaide Crows,250362,David Mackay,31,Wing,18,66.2364661768146,Veterans
2019,Adelaide Crows,250417,Bryce Gibbs,30,Mid,12,69.4082945663638,Veterans
2019,Adelaide Crows,270296,Andy Otten,30,Gen Def,3,69.5901306625088,Veterans
2019,Adelaide Crows,270811,Sam Jacobs,31,Ruck,5,79.8827031522612,Veterans
2019,Adelaide Crows,270938,Tom Lynch,28,Gen Fwd,16,84.7226189374326,Prime
2019,Adelaide Crows,270963,Rory Sloane,29,Mid,22,102.999274238304,Prime
2019,Adelaide Crows,280506,Taylor Walker,29,Key Fwd,22,67.1373359646823,Prime
2019,Adelaide Crows,280934,Daniel Talia,28,Key Def,22,69.2672976747719,Prime
2019,Adelaide Crows,281091,Hugh Greenwood,27,Mid-Fwd,14,85.526976762273,Prime
2019,Adelaide Crows,290228,Kyle Hartigan,27,Key Def,19,43.8840599402809,Prime
2019,Adelaide Crows,290797,Alex Keath,27,Key Def,18,76.2194628355821,Prime
2019,Adelaide Crows,291748,Brodie Smith,27,Gen Def,22,89.2338418911846,Prime
2019,Adelaide Crows,293193,Luke Brown,26,Gen Def,15,67.5806319893054,Prime
2019,Adelaide Crows,293222,Rory Laird,25,Gen Def,22,96.7596721455797,Established Youth
2019,Adelaide Crows,293479,Cameron Ellis-Yolmen,26,Mid,10,93.3778720514966,Prime
2019,Adelaide Crows,294307,Brad Crouch,25,Mid,22,97.5000406498179,Established Youth
2019,Adelaide Crows,294472,Rory Atkins,25,Wing,20,75.2118268777127,Established Youth
2019,Adelaide Crows,294733,Paul Seedsman,27,Wing,13,72.307454169213,Prime
2019,Adelaide Crows,294828,Josh Jenkins,30,Key Fwd,11,68.2954482142395,Veterans
2019,Adelaide Crows,295103,Riley Knight,24,Gen Fwd,15,62.9484776502127,Established Youth
